Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.03.28 10:00:00,126,EURUSD,sell,0.09 / 0.09,, 1.23935,,,2018.03.28 10:00:00,,filled,,
2018.03.29 08:00:00,127,EURUSD,buy,0.09 / 0.09,, 1.23303,,,2018.03.29 08:00:00,,filled,,
2018.03.29 10:00:00,128,EURUSD,sell,0.09 / 0.09,, 1.23074,,,2018.03.29 10:00:00,,filled,,
2018.03.29 14:00:00,129,EURUSD,buy,0.09 / 0.09,, 1.23235,,,2018.03.29 14:00:00,,filled,,
2018.03.29 18:00:00,130,EURUSD,sell,0.09 / 0.09,, 1.22984,,,2018.03.29 18:00:00,,filled,,
2018.03.30 05:00:00,131,EURUSD,buy,0.09 / 0.09,, 1.23129,,,2018.03.30 05:00:00,,filled,,
2018.03.30 22:00:00,132,EURUSD,buy,0.01 / 0.01,, 1.23268,,,2018.03.30 22:00:00,,filled,,
2018.03.30 23:00:00,133,EURUSD,sell,0.01 / 0.01,, 1.23169,,,2018.03.30 23:00:00,,filled,,
2018.04.02 00:01:00,134,EURUSD,buy,0.01 / 0.01,, 1.23265,,,2018.04.02 00:01:00,,filled,,
2018.04.02 07:00:00,135,EURUSD,sell,0.01 / 0.01,, 1.23183,,,2018.04.02 07:00:00,,filled,,
2018.04.02 10:00:00,136,EURUSD,buy,0.01 / 0.01,, 1.23225,,,2018.04.02 10:00:00,,filled,,
2018.04.03 14:00:00,137,EURUSD,sell,0.01 / 0.01,, 1.22882,,,2018.04.03 14:00:00,,filled,,
2018.04.04 10:00:00,138,EURUSD,sell,0.01 / 0.01,, 1.22663,,,2018.04.04 10:00:00,,filled,,
2018.04.04 11:00:00,139,EURUSD,buy,0.01 / 0.01,, 1.22947,,,2018.04.04 11:00:00,,filled,,
2018.04.06 04:00:00,140,EURUSD,buy,0.01 / 0.01,, 1.22491,,,2018.04.06 04:00:00,,filled,,
2018.04.06 08:00:00,141,EURUSD,sell,0.01 / 0.01,, 1.22383,,,2018.04.06 08:00:00,,filled,,
2018.04.06 16:00:00,142,EURUSD,buy,0.01 / 0.01,, 1.22478,,,2018.04.06 16:00:00,,filled,,
2018.04.09 13:00:00,143,EURUSD,sell,0.01 / 0.01,, 1.22674,,,2018.04.09 13:00:00,,filled,,
2018.04.09 15:00:00,144,EURUSD,buy,0.09 / 0.09,, 1.22838,,,2018.04.09 15:00:00,,filled,,
2018.04.10 07:00:00,145,EURUSD,sell,0.09 / 0.09,, 1.23149,,,2018.04.10 07:00:00,,filled,,
2018.04.10 11:00:00,146,EURUSD,buy,0.09 / 0.09,, 1.23299,,,2018.04.10 11:00:00,,filled,,
2018.04.11 22:00:00,147,EURUSD,sell,0.09 / 0.09,, 1.23624,,,2018.04.11 22:00:00,,filled,,
2018.04.12 04:00:00,148,EURUSD,buy,0.09 / 0.09,, 1.23759,,,2018.04.12 04:00:00,,filled,,
2018.04.12 05:00:00,149,EURUSD,sell,0.09 / 0.09,, 1.23699,,,2018.04.12 05:00:00,,filled,,
2018.04.13 05:00:00,150,EURUSD,sell,0.09 / 0.09,, 1.23230,,,2018.04.13 05:00:00,,filled,,
