Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.09.18 10:43:40,100,EURUSD,sell,0.10 / 0.10,, 1.16730,, 1.16238,2018.09.18 10:43:40,,filled,,
2018.09.19 08:00:00,101,EURUSD,buy,0.10 / 0.10,, 1.16755,,,2018.09.19 08:00:00,,filled,,
2018.09.24 11:02:40,102,EURUSD,buy,0.10 / 0.10,, 1.17524,, 1.18016,2018.09.24 11:02:40,,filled,,
2018.09.24 16:10:20,103,EURUSD,sell,0.10 / 0.10,, 1.18016,,,2018.09.24 16:10:20,,filled,tp 1.18016,
2018.09.24 21:03:40,104,EURUSD,sell,0.10 / 0.10,, 1.17559,, 1.17067,2018.09.24 21:03:40,,filled,,
2018.09.25 09:39:59,105,EURUSD,buy,0.10 / 0.10,, 1.17633,,,2018.09.25 09:39:59,,filled,,
2018.09.25 21:00:00,106,EURUSD,sell,0.10 / 0.10,, 1.17626,, 1.17134,2018.09.25 21:00:00,,filled,,
2018.09.26 18:55:40,107,EURUSD,buy,0.10 / 0.10,, 1.17564,,,2018.09.26 18:55:40,,filled,sl 1.17564,
2018.09.26 20:15:40,108,EURUSD,buy,0.10 / 0.10,, 1.17638,, 1.18130,2018.09.26 20:15:40,,filled,,
2018.09.26 21:08:40,109,EURUSD,sell,0.10 / 0.10,, 1.17674,,,2018.09.26 21:08:40,,filled,sl 1.17674,
2018.09.27 03:03:40,110,EURUSD,buy,0.10 / 0.10,, 1.17539,, 1.18031,2018.09.27 03:03:40,,filled,,
2018.10.03 13:17:40,111,EURUSD,sell,0.10 / 0.10,, 1.15560,,,2018.10.03 13:17:40,,filled,,
2018.10.03 13:17:59,112,EURUSD,sell,0.10 / 0.10,, 1.15566,, 1.15074,2018.10.03 13:17:59,,filled,,
2018.10.03 23:22:40,113,EURUSD,buy,0.10 / 0.10,, 1.15074,,,2018.10.03 23:22:40,,filled,tp 1.15074,
2018.10.08 04:32:40,114,EURUSD,sell,0.10 / 0.10,, 1.15151,, 1.14659,2018.10.08 04:32:40,,filled,,
2018.10.08 14:05:40,115,EURUSD,buy,0.10 / 0.10,, 1.14659,,,2018.10.08 14:05:40,,filled,tp 1.14659,
2018.10.09 18:43:40,116,EURUSD,buy,0.10 / 0.10,, 1.14878,, 1.15370,2018.10.09 18:43:40,,filled,,
2018.10.10 10:11:40,117,EURUSD,sell,0.10 / 0.10,, 1.14929,,,2018.10.10 10:11:40,,filled,,
2018.10.10 10:12:40,118,EURUSD,sell,0.10 / 0.10,, 1.14920,, 1.14428,2018.10.10 10:12:40,,filled,,
2018.10.15 08:06:40,119,EURUSD,buy,0.10 / 0.10,, 1.15528,,,2018.10.15 08:06:40,,filled,,
2018.10.15 22:47:40,120,EURUSD,sell,0.10 / 0.10,, 1.15753,, 1.15261,2018.10.15 22:47:40,,filled,,
2018.10.17 13:00:00,121,EURUSD,buy,0.10 / 0.10,, 1.15674,,,2018.10.17 13:00:00,,filled,,
2018.10.17 13:04:40,122,EURUSD,buy,0.10 / 0.10,, 1.15756,, 1.16248,2018.10.17 13:04:40,,filled,,
2018.10.22 04:00:00,123,EURUSD,sell,0.10 / 0.10,, 1.15027,,,2018.10.22 04:00:00,,filled,,
2018.10.22 12:51:40,124,EURUSD,sell,0.10 / 0.10,, 1.15024,, 1.14532,2018.10.22 12:51:40,,filled,,
2018.10.23 07:02:40,125,EURUSD,buy,0.10 / 0.10,, 1.14532,,,2018.10.23 07:02:40,,filled,tp 1.14532,
2018.10.26 17:23:40,126,EURUSD,buy,0.10 / 0.10,, 1.13708,, 1.14200,2018.10.26 17:23:40,,filled,,
2018.10.26 23:05:20,127,EURUSD,sell,0.10 / 0.10,, 1.14200,,,2018.10.26 23:05:20,,filled,tp 1.14200,
2018.10.29 10:26:40,128,EURUSD,sell,0.10 / 0.10,, 1.13890,, 1.13398,2018.10.29 10:26:40,,filled,,
2018.10.30 05:33:20,129,EURUSD,buy,0.10 / 0.10,, 1.13830,,,2018.10.30 05:33:20,,filled,,
2018.10.30 16:00:00,130,EURUSD,buy,0.10 / 0.10,, 1.13751,, 1.14243,2018.10.30 16:00:00,,filled,,
2018.11.02 00:00:00,131,EURUSD,sell,0.10 / 0.10,, 1.14014,,,2018.11.02 00:00:00,,filled,,
