,date_time,currency,impact,name,actual,forecast,previous
2909,2010-08-04 09:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,54.3,53.2,53.8
2910,2010-08-04 17:45:00,NZD,High Impact Expected,Employment Change q/q,-0.3,0.5,1.0
2911,2010-08-04 17:45:00,NZD,High Impact Expected,Unemployment Rate,6.8,6.3,6.0
2912,2010-08-05 02:00:00,CHF,High Impact Expected,Foreign Currency Reserves,220.0,0.0,225.0
2913,2010-08-05 06:00:00,GBP,High Impact Expected,Asset Purchase Facility,200.0,200.0,200.0
2914,2010-08-05 06:00:00,GBP,High Impact Expected,Official Bank Rate,0.5,0.5,0.5
2915,2010-08-05 06:45:00,EUR,High Impact Expected,Main Refinancing Rate,1.0,1.0,1.0
2916,2010-08-05 07:30:00,CAD,High Impact Expected,Building Permits m/m,6.5,1.2,-8.2
2917,2010-08-05 07:30:00,EUR,High Impact Expected,ECB Press Conference,0.0,0.0,0.0
2918,2010-08-05 07:30:00,USD,High Impact Expected,Unemployment Claims,479.0,456.0,460.0
2919,2010-08-05 20:30:00,AUD,High Impact Expected,RBA Monetary Policy Statement,0.0,0.0,0.0
2920,2010-08-06 03:30:00,GBP,High Impact Expected,Manufacturing Production m/m,0.3,0.5,0.3
2921,2010-08-06 03:30:00,GBP,High Impact Expected,PPI Input m/m,-1.0,-0.4,-0.3
2922,2010-08-06 06:00:00,CAD,High Impact Expected,Employment Change,-9.3,13.7,93.2
2923,2010-08-06 06:00:00,CAD,High Impact Expected,Unemployment Rate,8.0,7.9,7.9
2924,2010-08-06 07:30:00,USD,High Impact Expected,Non-Farm Employment Change,-131.0,-63.0,-221.0
2925,2010-08-06 07:30:00,USD,High Impact Expected,Unemployment Rate,9.5,9.6,9.5
2926,2010-08-06 09:00:00,CAD,High Impact Expected,Ivey PMI,54.0,55.9,58.9
2927,2010-08-08 20:30:00,AUD,High Impact Expected,ANZ Job Advertisements m/m,1.3,0.0,2.8
2928,2010-08-08 20:30:00,AUD,High Impact Expected,Home Loans m/m,-3.9,-2.1,3.0
2929,2010-08-09 21:55:00,CNY,High Impact Expected,USD-Denominated Trade Balance,28.7,19.6,20.0
2930,2010-08-10 02:13:00,JPY,High Impact Expected,BOJ Press Conference,0.0,0.0,0.0
2931,2010-08-10 07:15:00,CAD,High Impact Expected,Housing Starts,189.0,186.0,192.0
2932,2010-08-10 13:15:00,USD,High Impact Expected,FOMC Statement,0.0,0.0,0.0
2933,2010-08-10 13:15:00,USD,High Impact Expected,Federal Funds Rate,0.0,0.0,0.0
2934,2010-08-10 21:00:00,CNY,High Impact Expected,CPI y/y,3.3,3.3,2.9
2935,2010-08-11 03:30:00,GBP,High Impact Expected,Claimant Count Change,-3.8,-17.0,-15.9
2936,2010-08-11 04:30:00,GBP,High Impact Expected,BOE Gov King Speaks,0.0,0.0,0.0
2937,2010-08-11 04:30:00,GBP,High Impact Expected,BOE Inflation Report,0.0,0.0,0.0
2938,2010-08-11 07:30:00,CAD,High Impact Expected,Trade Balance,-1.1,-0.1,-0.7
2939,2010-08-11 07:30:00,USD,High Impact Expected,Trade Balance,-49.9,-42.0,-42.0
2940,2010-08-11 20:30:00,AUD,High Impact Expected,Employment Change,23.5,20.1,37.4
2941,2010-08-11 20:30:00,AUD,High Impact Expected,Unemployment Rate,5.3,5.1,5.1
2942,2010-08-12 07:30:00,USD,High Impact Expected,Unemployment Claims,484.0,465.0,482.0
2943,2010-08-12 17:45:00,NZD,High Impact Expected,Core Retail Sales m/m,1.5,0.6,-0.2
2944,2010-08-13 01:00:00,EUR,High Impact Expected,German Prelim GDP q/q,2.2,1.3,0.5
2945,2010-08-13 07:30:00,USD,High Impact Expected,Core CPI m/m,0.1,0.1,0.2
2946,2010-08-13 07:30:00,USD,High Impact Expected,Core Retail Sales m/m,0.2,0.3,-0.1
2947,2010-08-13 07:30:00,USD,High Impact Expected,Retail Sales m/m,0.4,0.5,-0.3
2948,2010-08-13 08:55:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,69.6,69.4,67.8
2949,2010-08-15 18:50:00,JPY,High Impact Expected,Prelim GDP q/q,0.1,0.6,1.1
2950,2010-08-16 08:00:00,USD,High Impact Expected,TIC Long-Term Purchases,44.4,36.3,35.3
2951,2010-08-16 20:30:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,0.0,0.0,0.0
2952,2010-08-17 03:30:00,GBP,High Impact Expected,CPI y/y,3.1,3.1,3.2
2953,2010-08-17 04:00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,14.0,20.9,21.2
2954,2010-08-17 04:30:00,GBP,High Impact Expected,BOE Inflation Letter,0.0,0.0,0.0
2955,2010-08-17 05:00:00,AUD,High Impact Expected,RBA Gov Stevens Speaks,0.0,0.0,0.0
2956,2010-08-17 07:30:00,USD,High Impact Expected,Building Permits,0.57,0.58,0.58
2957,2010-08-17 07:30:00,USD,High Impact Expected,PPI m/m,0.2,0.2,-0.5
2958,2010-08-18 03:30:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,0.0,0.0,0.0
2959,2010-08-18 03:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,1.0,1.0,1.0
2960,2010-08-18 17:45:00,NZD,High Impact Expected,PPI Input q/q,1.4,0.6,1.3
2961,2010-08-19 03:30:00,GBP,High Impact Expected,Retail Sales m/m,1.1,0.4,0.7
2962,2010-08-19 07:30:00,USD,High Impact Expected,Unemployment Claims,500.0,478.0,488.0
2963,2010-08-19 09:00:00,USD,High Impact Expected,Philly Fed Manufacturing Index,-7.7,7.1,5.1
2964,2010-08-20 06:00:00,CAD,High Impact Expected,Core CPI m/m,-0.1,0.1,-0.1
2965,2010-08-23 22:00:00,NZD,High Impact Expected,Inflation Expectations q/q,2.6,0.0,2.8
2966,2010-08-24 07:30:00,CAD,High Impact Expected,Core Retail Sales m/m,-0.5,0.1,-0.3
2967,2010-08-24 09:00:00,USD,High Impact Expected,Existing Home Sales,3.83,4.68,5.26
2968,2010-08-25 03:00:00,EUR,High Impact Expected,German Ifo Business Climate,106.7,105.8,106.2
2969,2010-08-25 07:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,-3.8,0.6,0.2
2970,2010-08-25 09:00:00,USD,High Impact Expected,New Home Sales,276.0,333.0,315.0
2971,2010-08-25 20:30:00,AUD,High Impact Expected,Private Capital Expenditure q/q,-4.0,2.3,-1.0
2972,2010-08-26 07:30:00,USD,High Impact Expected,Unemployment Claims,473.0,488.0,504.0
2973,2010-08-27 03:30:00,GBP,High Impact Expected,Second Estimate GDP q/q,1.2,1.1,1.1
2974,2010-08-27 04:30:00,CHF,High Impact Expected,KOF Economic Barometer,2.18,2.22,2.22
2975,2010-08-27 07:30:00,USD,High Impact Expected,Prelim GDP q/q,1.6,1.5,2.4
2976,2010-08-27 09:00:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,0.0,0.0,0.0
2977,2010-08-29 22:00:00,NZD,High Impact Expected,ANZ Business Confidence,16.4,0.0,27.9
2978,2010-08-29 22:11:00,JPY,High Impact Expected,Monetary Policy Statement,0.0,0.0,0.0
2979,2010-08-30 01:21:00,JPY,High Impact Expected,BOJ Press Conference,0.0,0.0,0.0
2980,2010-08-30 20:30:00,AUD,High Impact Expected,Building Approvals m/m,2.3,-0.6,-3.4
2981,2010-08-30 20:30:00,AUD,High Impact Expected,Retail Sales m/m,0.7,0.4,0.4
2982,2010-08-31 07:30:00,CAD,High Impact Expected,GDP m/m,0.2,0.2,0.1
2983,2010-08-31 09:00:00,USD,High Impact Expected,CB Consumer Confidence,53.5,50.7,51.0
2984,2010-08-31 13:00:00,USD,High Impact Expected,FOMC Meeting Minutes,0.0,0.0,0.0
2985,2010-08-31 19:57:00,CNY,High Impact Expected,Manufacturing PMI,51.7,51.6,51.2
2986,2010-08-31 20:30:00,AUD,High Impact Expected,GDP q/q,1.2,0.9,0.7
2987,2010-09-01 03:30:00,GBP,High Impact Expected,Manufacturing PMI,54.3,57.1,56.9
2988,2010-09-01 07:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,-10.0,20.0,37.0
2989,2010-09-01 09:00:00,USD,High Impact Expected,ISM Manufacturing PMI,56.3,53.2,55.5
2990,2010-09-01 20:30:00,AUD,High Impact Expected,Trade Balance,1.89,3.11,3.44
2991,2010-09-02 01:00:00,GBP,High Impact Expected,Nationwide HPI m/m,-0.9,-0.3,-0.5
2992,2010-09-02 02:15:00,CHF,High Impact Expected,Retail Sales y/y,4.8,2.3,1.0
